Color Name, Hex Code,R,G,B,H,S,V,Name Code
true green,#089404,8,148,4,118.33333333333334,97.29729729729728,58.03921568627452,724206588859566
coral pink,#ff6163,255,97,99,359.24050632911394,61.96078431372549,100.0,122665774360011
dark sage,#598556,89,133,86,116.17021276595746,35.338345864661655,52.156862745098046,4452134782181
dark slate blue,#214761,33,71,97,204.375,65.97938144329896,38.03921568627451,4780443333617644548773
flat blue,#3c73a8,60,115,168,209.44444444444443,64.28571428571429,65.88235294117646,7011162993317
mushroom,#ba9e88,186,158,136,26.400000000000013,26.881720430107524,72.94117647058823,469871705581
rich blue,#021bf9,2,27,249,233.92712550607283,99.19678714859438,97.6470588235294,20103968141989
dirty purple,#734a65,115,74,101,320.4878048780488,35.65217391304347,45.09803921568628,154904487932805509
greenblue,#23c48b,35,196,139,158.75776397515529,82.14285714285714,76.86274509803923,8320607924901
icky green,#8fae22,143,174,34,73.28571428571429,80.45977011494253,68.23529411764706,320363698918574
light khaki,#e6f2a2,230,242,162,69.0,33.057851239669425,94.90196078431372,13835452183479657
warm blue,#4b57db,75,87,219,235.0,65.75342465753425,85.88235294117646,25342922273445
dark hot pink,#d90166,217,1,102,331.94444444444446,99.53917050691244,85.09803921568627,4668401318898443723
deep sea blue,#015482,1,84,130,201.3953488372093,99.23076923076924,50.98039215686274,4798056096627503781
carmine,#9d0216,157,2,22,352.258064516129,98.72611464968152,61.5686274509804,3274089925
dark yellow green,#728f02,114,143,2,72.3404255319149,98.6013986013986,56.07843137254902,4895174182294519799157934
pale peach,#ffe5ad,255,229,173,40.97560975609756,32.15686274509804,100.0,564468174193768
plum purple,#4e0550,78,5,80,298.40000000000003,93.75,31.37254901960784,18460180167082373
golden rod,#f9bc08,249,188,8,44.81327800829876,96.78714859437753,97.6470588235294,263200074320356
neon red,#ff073a,255,7,58,347.6612903225806,97.25490196078432,100.0,486924044452
old pink,#c77986,199,121,134,350.0,39.19597989949749,78.03921568627452,528447186379
very pale blue,#d6fffe,214,255,254,178.53658536585365,16.07843137254902,100.0,818099085781059580581
blood orange,#fe4b03,254,75,3,17.211155378486055,98.81889763779527,99.6078431372549,86112821349234917
